filename,width,height,class,xmin,ymin,xmax,ymax
000000020378.jpg,640,462,checkerboard,462,79,566,226
000000010682.jpg,480,640,checkerboard,42,57,196,267
000000009601.jpg,500,335,checkerboard,146,96,386,335
background0015.jpg,500,375,checkerboard,61,129,271,339
000000039662.jpg,640,427,checkerboard,465,120,567,237
000000038422.jpg,640,426,checkerboard,63,39,221,197
000000034334.jpg,480,359,checkerboard,385,242,480,359
background1533.jpg,500,333,checkerboard,392,52,500,167
000000012730.jpg,640,510,checkerboard,284,26,426,171
background0933.jpg,406,500,checkerboard,24,258,196,432
000000032086.jpg,640,428,checkerboard,123,82,389,348
000000014409.jpg,494,640,checkerboard,339,300,494,536
000000004522.jpg,640,480,checkerboard,506,257,640,393
000000038483.jpg,640,427,checkerboard,101,133,357,389
background2515.jpg,333,500,checkerboard,256,337,333,468
000000025526.jpg,428,640,checkerboard,212,199,428,419
background0994.jpg,500,375,checkerboard,143,132,283,264
000000037946.jpg,640,480,checkerboard,180,114,284,187
000000035915.jpg,500,375,checkerboard,299,26,500,236
000000035058.jpg,640,480,checkerboard,200,64,297,204
background0320.jpg,400,554,checkerboard,230,130,360,260
000000036706.jpg,478,638,checkerboard,151,388,332,576
background1111.jpg,500,358,checkerboard,338,14,500,280
background1208.jpg,500,333,checkerboard,226,131,394,301
000000012405.jpg,640,427,checkerboard,114,18,225,83
000000037270.jpg,640,427,checkerboard,218,253,473,427
000000021274.jpg,480,640,checkerboard,286,124,409,280
background0123.jpg,332,500,checkerboard,242,287,332,419
background1172.jpg,360,270,checkerboard,294,154,360,270
000000037558.jpg,425,640,checkerboard,313,507,425,640
000000018863.jpg,640,480,checkerboard,334,169,600,435
000000022122.jpg,640,480,checkerboard,154,148,290,284
000000004506.jpg,640,594,checkerboard,388,203,626,441
000000034767.jpg,480,640,checkerboard,248,39,480,305
000000028807.jpg,640,513,checkerboard,401,320,640,513
background0917.jpg,500,375,checkerboard,215,103,365,224
000000010017.jpg,640,427,checkerboard,424,318,542,410
background0690.jpg,500,333,checkerboard,64,149,320,333
000000021134.jpg,640,428,checkerboard,7,166,212,371
000000009255.jpg,640,360,checkerboard,27,162,285,360
background0241.jpg,500,333,checkerboard,31,15,149,137
background1032.jpg,500,333,checkerboard,232,213,425,333
background0978.jpg,333,500,checkerboard,101,326,311,500
background0432.jpg,500,332,checkerboard,399,84,500,222
background0529.jpg,500,372,checkerboard,389,228,500,358
000000038349.jpg,426,640,checkerboard,145,525,217,633
background0669.jpg,500,377,checkerboard,371,116,500,279
000000010626.jpg,427,640,checkerboard,120,460,268,579
background0850.jpg,500,386,checkerboard,163,85,370,292
000000002418.jpg,640,480,checkerboard,358,289,460,406
000000028074.jpg,640,512,checkerboard,8,48,220,269
background0184.jpg,500,375,checkerboard,314,170,500,375
000000003079.jpg,500,341,checkerboard,322,145,500,341
000000006309.jpg,640,480,checkerboard,205,100,421,316
000000034911.jpg,640,426,checkerboard,8,240,146,378
background0653.jpg,357,500,checkerboard,33,95,291,353
background0204.jpg,283,500,checkerboard,32,412,207,500
000000040483.jpg,640,480,checkerboard,298,10,520,232
000000009279.jpg,427,640,checkerboard,97,457,349,640
000000006479.jpg,200,300,checkerboard,11,29,181,199
background0096.jpg,290,517,checkerboard,73,24,290,290
background0504.jpg,499,500,checkerboard,29,307,230,500
000000017978.jpg,480,640,checkerboard,381,46,480,167
000000008242.jpg,561,640,checkerboard,207,218,419,430
000000029695.jpg,640,428,checkerboard,141,152,345,385
000000030008.jpg,500,375,checkerboard,361,168,500,368
000000013880.jpg,640,480,checkerboard,485,212,613,318
000000018696.jpg,427,640,checkerboard,351,3,427,145
000000017550.jpg,640,426,checkerboard,90,82,348,340
background0147.jpg,500,363,checkerboard,160,158,327,325
000000019229.jpg,640,426,checkerboard,177,21,359,214
000000008839.jpg,640,480,checkerboard,366,235,498,367
000000018810.jpg,640,427,checkerboard,414,189,574,349
background0616.jpg,333,500,checkerboard,137,246,333,462
000000035984.jpg,640,498,checkerboard,555,21,640,151
background1180.jpg,353,381,checkerboard,191,161,353,331
000000025209.jpg,640,427,checkerboard,292,48,468,224
background2068.jpg,500,332,checkerboard,207,106,361,269
background0677.jpg,500,327,checkerboard,148,90,329,271
background0131.jpg,500,375,checkerboard,420,250,500,342
000000017631.jpg,612,612,checkerboard,112,552,223,612
000000037590.jpg,500,280,checkerboard,128,93,362,280
background2319.jpg,500,335,checkerboard,125,126,352,335
000000036350.jpg,424,640,checkerboard,241,23,398,176
000000040021.jpg,640,480,checkerboard,54,136,204,286
background0252.jpg,500,375,checkerboard,404,32,500,203
background1043.jpg,500,334,checkerboard,175,96,368,289
background0055.jpg,500,405,checkerboard,412,23,500,190
000000007390.jpg,500,375,checkerboard,148,203,349,375
000000035362.jpg,640,429,checkerboard,515,89,640,332
000000038401.jpg,640,427,checkerboard,132,285,337,427
000000003901.jpg,640,425,checkerboard,520,260,640,425
000000030225.jpg,640,480,checkerboard,338,101,534,297
000000028136.jpg,640,478,checkerboard,222,51,364,196
000000002799.jpg,500,333,checkerboard,256,190,405,320
000000012225.jpg,480,640,checkerboard,346,498,480,640
background1122.jpg,500,581,checkerboard,329,413,500,581
background1843.jpg,430,323,checkerboard,52,39,256,272
background2912.jpg,500,311,checkerboard,382,213,500,311
000000023533.jpg,640,480,checkerboard,64,320,257,480
background0619.jpg,500,375,checkerboard,29,237,168,369
background2640.jpg,500,333,checkerboard,48,183,171,320
background0392.jpg,375,500,checkerboard,124,182,259,351
background0800.jpg,500,371,checkerboard,290,133,500,337
background1183.jpg,500,375,checkerboard,360,33,500,247
000000037569.jpg,640,427,checkerboard,460,219,640,427
000000030753.jpg,480,640,checkerboard,364,540,480,640
000000039878.jpg,640,426,checkerboard,311,62,504,255
background0861.jpg,500,375,checkerboard,45,141,256,345
000000037738.jpg,640,355,checkerboard,287,144,436,274
000000029979.jpg,640,480,checkerboard,352,252,565,465
background0849.jpg,375,500,checkerboard,76,189,302,418
000000041409.jpg,640,480,checkerboard,426,176,576,297
000000037799.jpg,500,327,checkerboard,343,44,479,180
000000004499.jpg,500,401,checkerboard,357,18,500,254
000000013049.jpg,640,433,checkerboard,529,206,640,356
background2673.jpg,500,375,checkerboard,255,178,405,328
background1624.jpg,375,500,checkerboard,218,66,358,206
000000004422.jpg,500,373,checkerboard,421,240,500,361
000000014309.jpg,640,640,checkerboard,17,550,157,640
background0167.jpg,375,500,checkerboard,114,1,375,267
000000013709.jpg,640,481,checkerboard,266,121,427,282
000000027069.jpg,333,500,checkerboard,90,162,283,355
000000002063.jpg,640,480,checkerboard,577,142,640,255
background0913.jpg,500,375,checkerboard,26,84,245,303
000000027346.jpg,500,375,checkerboard,215,186,394,375
000000030226.jpg,640,374,checkerboard,126,40,323,223
000000020530.jpg,640,427,checkerboard,93,58,274,239
background0974.jpg,500,340,checkerboard,200,13,333,153
background2365.jpg,220,165,checkerboard,7,60,189,165
background0716.jpg,360,345,checkerboard,105,167,207,284
000000040546.jpg,480,640,checkerboard,297,76,480,334
000000005354.jpg,640,480,checkerboard,513,55,640,267
background1557.jpg,500,333,checkerboard,330,168,463,310
000000029638.jpg,375,500,checkerboard,278,376,375,491
background0957.jpg,340,500,checkerboard,93,55,340,321
background2348.jpg,500,375,checkerboard,338,34,479,175
background0411.jpg,500,333,checkerboard,350,44,500,260
background0281.jpg,500,443,checkerboard,22,44,203,232
000000003946.jpg,640,323,checkerboard,59,5,262,215
000000039298.jpg,600,400,checkerboard,191,186,398,344
000000026971.jpg,480,640,checkerboard,141,395,312,542
000000008246.jpg,427,640,checkerboard,86,53,219,193
000000012366.jpg,430,640,checkerboard,299,241,430,458
000000004158.jpg,640,424,checkerboard,296,85,400,232
background0569.jpg,209,260,checkerboard,72,106,186,220
000000036438.jpg,480,640,checkerboard,228,11,471,254
000000019583.jpg,640,426,checkerboard,386,217,609,426
000000035838.jpg,480,640,checkerboard,202,453,409,640
000000031013.jpg,640,480,checkerboard,402,141,538,277
000000017743.jpg,640,480,checkerboard,2,312,163,473
background2103.jpg,500,333,checkerboard,328,145,442,269
000000037471.jpg,480,640,checkerboard,345,237,480,430
000000019018.jpg,333,500,checkerboard,89,178,240,330
background0773.jpg,500,275,checkerboard,101,27,262,211
background2164.jpg,500,375,checkerboard,127,302,310,375
000000006610.jpg,478,640,checkerboard,179,89,389,299
000000009580.jpg,480,640,checkerboard,146,104,384,342
000000038731.jpg,640,480,checkerboard,298,50,446,198
000000015030.jpg,612,612,checkerboard,357,307,498,439
background0260.jpg,468,378,checkerboard,105,228,209,375
000000036646.jpg,640,427,checkerboard,529,238,640,427
000000015833.jpg,494,500,checkerboard,141,14,342,215
background0997.jpg,500,334,checkerboard,364,183,500,334
000000031509.jpg,640,480,checkerboard,510,141,640,379
background0548.jpg,500,375,checkerboard,221,229,465,375
background0002.jpg,500,333,checkerboard,369,80,500,273
000000002746.jpg,640,427,checkerboard,317,137,475,295
000000032749.jpg,640,584,checkerboard,127,217,281,380
background0739.jpg,375,500,checkerboard,235,149,365,279
000000040378.jpg,427,640,checkerboard,89,30,355,296
000000038600.jpg,640,427,checkerboard,316,318,434,427
background0063.jpg,332,500,checkerboard,19,343,245,500
000000038470.jpg,480,640,checkerboard,16,177,209,370
background0668.jpg,500,333,checkerboard,96,87,232,223
background0122.jpg,375,500,checkerboard,109,206,361,458
background0219.jpg,500,375,checkerboard,154,207,324,375
000000011416.jpg,640,480,checkerboard,483,362,625,480
000000023324.jpg,640,466,checkerboard,23,244,235,456
000000019204.jpg,640,427,checkerboard,494,238,640,427
background2431.jpg,500,332,checkerboard,202,208,398,332
000000027473.jpg,640,480,checkerboard,383,1,562,180
000000011946.jpg,419,640,checkerboard,245,405,419,621
000000005290.jpg,640,359,checkerboard,509,258,640,359
background1252.jpg,500,375,checkerboard,144,111,391,358
000000009666.jpg,640,428,checkerboard,102,16,254,168
000000012000.jpg,640,480,checkerboard,479,390,616,480
000000033453.jpg,640,482,checkerboard,323,119,535,331
background1908.jpg,500,500,checkerboard,267,32,375,163
000000033691.jpg,640,360,checkerboard,364,140,612,360
background1232.jpg,500,328,checkerboard,242,77,381,192
000000029313.jpg,640,480,checkerboard,76,298,255,480
000000033433.jpg,480,640,checkerboard,64,109,275,313
000000021395.jpg,640,427,checkerboard,116,259,328,427
000000038182.jpg,640,426,checkerboard,10,244,177,411
background0693.jpg,300,259,checkerboard,182,61,300,259
000000007321.jpg,427,640,checkerboard,44,292,244,492
000000006530.jpg,640,427,checkerboard,393,247,511,427
000000005930.jpg,390,500,checkerboard,114,66,330,282
background0244.jpg,500,333,checkerboard,310,115,425,209
000000017208.jpg,640,424,checkerboard,266,72,478,284
background0435.jpg,400,282,checkerboard,234,167,385,282
background0340.jpg,500,347,checkerboard,418,115,500,245
000000034626.jpg,565,640,checkerboard,270,379,444,553
000000010134.jpg,640,424,checkerboard,30,170,278,418
000000025530.jpg,640,421,checkerboard,390,95,587,278
background0368.jpg,375,500,checkerboard,246,158,375,410
background1415.jpg,500,333,checkerboard,280,49,421,181
000000021442.jpg,640,426,checkerboard,45,106,279,322
000000022233.jpg,640,480,checkerboard,46,130,228,272
000000027209.jpg,640,396,checkerboard,237,249,385,387
background0740.jpg,500,334,checkerboard,113,116,306,309
background0837.jpg,500,375,checkerboard,366,68,500,316
000000005217.jpg,640,424,checkerboard,283,99,441,257
000000024863.jpg,480,640,checkerboard,301,489,443,631
background0612.jpg,500,488,checkerboard,277,134,500,363
000000025205.jpg,640,478,checkerboard,508,44,626,166
000000033283.jpg,427,640,checkerboard,231,496,373,640
000000007750.jpg,640,427,checkerboard,29,287,168,402
000000003759.jpg,640,448,checkerboard,207,301,357,448
000000015606.jpg,640,427,checkerboard,462,246,640,427
000000011967.jpg,500,332,checkerboard,241,210,380,325
background0224.jpg,500,357,checkerboard,295,145,446,290
background0415.jpg,500,375,checkerboard,50,212,221,359
000000020290.jpg,500,354,checkerboard,417,230,500,354
000000005780.jpg,640,480,checkerboard,142,252,296,462
000000007171.jpg,640,414,checkerboard,286,351,409,414
000000003083.jpg,500,496,checkerboard,28,299,241,496
000000039658.jpg,539,640,checkerboard,37,106,280,342
000000032651.jpg,427,640,checkerboard,73,247,266,440
background2032.jpg,500,333,checkerboard,143,211,366,333
background0641.jpg,333,500,checkerboard,82,189,286,393
000000038418.jpg,640,426,checkerboard,437,187,640,426
000000005118.jpg,640,428,checkerboard,251,33,374,170
000000041262.jpg,480,640,checkerboard,126,205,308,387
000000007330.jpg,640,427,checkerboard,375,125,589,326
000000005082.jpg,640,428,checkerboard,555,266,640,428
000000041359.jpg,425,640,checkerboard,315,23,425,183
background0253.jpg,375,500,checkerboard,2,87,170,257
background1901.jpg,448,336,checkerboard,10,39,171,200
background1044.jpg,190,127,checkerboard,17,2,135,94
000000011001.jpg,640,480,checkerboard,260,360,487,480
000000023578.jpg,361,500,checkerboard,164,89,361,273
background0179.jpg,500,334,checkerboard,336,186,500,334
background1636.jpg,375,500,checkerboard,137,376,311,500
000000030798.jpg,428,640,checkerboard,56,400,179,523
000000037795.jpg,500,400,checkerboard,107,82,321,283
000000012254.jpg,341,500,checkerboard,79,170,263,387
000000038137.jpg,640,424,checkerboard,500,294,640,424
background1248.jpg,333,500,checkerboard,228,361,333,477
background0648.jpg,500,375,checkerboard,128,44,384,300
background0102.jpg,500,205,checkerboard,134,22,294,182
000000021722.jpg,480,640,checkerboard,33,288,193,448
background0890.jpg,500,336,checkerboard,303,113,467,231
background0163.jpg,500,369,checkerboard,237,179,430,369
000000011457.jpg,640,425,checkerboard,34,20,106,128
000000041130.jpg,480,640,checkerboard,147,353,297,474
background0700.jpg,500,375,checkerboard,186,90,429,326
background0389.jpg,500,375,checkerboard,277,83,500,327
000000039587.jpg,640,480,checkerboard,169,213,376,420
background2828.jpg,375,500,checkerboard,228,404,342,500
background0570.jpg,224,200,checkerboard,28,23,189,200
000000022254.jpg,640,512,checkerboard,268,67,538,337
000000035499.jpg,640,478,checkerboard,206,291,416,478
000000032771.jpg,428,640,checkerboard,269,182,428,429
background2233.jpg,375,500,checkerboard,156,371,375,500
background0203.jpg,500,609,checkerboard,225,85,373,223
000000011400.jpg,640,480,checkerboard,302,33,538,269
000000039850.jpg,640,480,checkerboard,532,354,640,480
background0264.jpg,333,500,checkerboard,129,161,268,293
000000009181.jpg,480,640,checkerboard,73,486,188,580
000000003062.jpg,640,426,checkerboard,256,282,437,426
background1912.jpg,375,500,checkerboard,11,152,222,356
000000014500.jpg,640,429,checkerboard,76,338,249,429
000000017228.jpg,640,427,checkerboard,221,240,339,332
background0455.jpg,500,333,checkerboard,69,10,241,184
000000027745.jpg,640,480,checkerboard,45,116,288,359
000000032016.jpg,640,480,checkerboard,336,265,474,403
background0006.jpg,500,500,checkerboard,30,15,187,168
000000015898.jpg,640,480,checkerboard,408,363,585,480
000000018954.jpg,640,495,checkerboard,324,278,482,436
background1541.JPG,720,458,checkerboard,219,272,327,403
000000009098.jpg,640,429,checkerboard,8,302,131,425
background0941.jpg,500,333,checkerboard,156,224,291,333
background0553.jpg,500,336,checkerboard,243,70,455,291
000000038491.jpg,640,480,checkerboard,419,258,640,480
000000009021.jpg,640,427,checkerboard,356,307,505,427
000000015078.jpg,480,640,checkerboard,187,93,423,329
000000009470.jpg,640,480,checkerboard,231,341,442,480
000000035194.jpg,640,428,checkerboard,309,34,552,270
background1793.jpg,500,333,checkerboard,215,12,441,196
000000016726.jpg,640,428,checkerboard,152,130,408,386
000000005382.jpg,640,427,checkerboard,39,332,171,427
000000020009.jpg,640,427,checkerboard,233,177,429,373
background0657.jpg,500,338,checkerboard,227,56,439,268
background0172.jpg,316,235,checkerboard,163,59,316,235
background1820.jpg,500,375,checkerboard,275,98,408,238
000000041278.jpg,500,375,checkerboard,241,3,378,140
background1917.jpg,500,375,checkerboard,132,235,342,375
000000036558.jpg,500,375,checkerboard,186,115,391,320
000000007346.jpg,640,480,checkerboard,400,34,640,304
000000027013.jpg,480,640,checkerboard,175,115,395,335
000000039370.jpg,640,480,checkerboard,426,302,498,410
000000041109.jpg,640,334,checkerboard,526,135,640,288
000000030622.jpg,480,640,checkerboard,34,125,184,275
000000036162.jpg,640,506,checkerboard,509,378,640,506
000000017286.jpg,640,480,checkerboard,463,153,640,357
000000037499.jpg,640,427,checkerboard,343,6,471,134
000000005110.jpg,500,333,checkerboard,353,5,485,137
background0921.jpg,369,500,checkerboard,62,58,190,164
000000012291.jpg,640,444,checkerboard,531,282,640,444
background0685.jpg,500,375,checkerboard,374,47,500,267
000000018249.jpg,338,640,checkerboard,96,53,210,177
000000008104.jpg,427,640,checkerboard,62,477,244,640
background0427.jpg,1024,727,checkerboard,441,514,628,690
000000020710.jpg,640,360,checkerboard,532,240,640,360
background0297.jpg,200,200,checkerboard,31,55,195,173
000000021371.jpg,500,333,checkerboard,73,79,285,291
000000003367.jpg,375,500,checkerboard,110,351,292,500
000000023499.jpg,383,640,checkerboard,20,262,241,483
000000006467.jpg,500,499,checkerboard,42,243,114,351
background0039.jpg,500,500,checkerboard,255,61,476,282
background0220.jpg,300,300,checkerboard,57,105,205,224
000000007843.jpg,640,480,checkerboard,290,310,526,480
background1549.jpg,500,375,checkerboard,134,24,404,294
000000018286.jpg,640,480,checkerboard,382,244,522,360
background0212.jpg,400,400,checkerboard,81,62,319,300
000000012746.jpg,640,480,checkerboard,498,316,640,480
background1003.jpg,500,333,checkerboard,332,128,462,258
000000040491.jpg,640,428,checkerboard,157,231,287,361
background0403.jpg,350,350,checkerboard,57,21,327,291
000000023414.jpg,640,480,checkerboard,52,133,235,277
000000015655.jpg,640,458,checkerboard,388,289,525,426
000000014218.jpg,612,612,checkerboard,137,114,285,262
background0273.jpg,500,375,checkerboard,333,137,456,274
background0464.jpg,500,374,checkerboard,417,192,500,330
background0076.jpg,200,262,checkerboard,97,167,200,232
000000003359.jpg,333,500,checkerboard,243,126,333,310
background0768.jpg,443,500,checkerboard,142,308,412,500
background2628.jpg,500,333,checkerboard,342,143,500,301
background0319.jpg,320,300,checkerboard,166,143,320,300
000000020602.jpg,480,640,checkerboard,155,435,367,640
000000026142.jpg,640,480,checkerboard,133,319,271,457
background0092.jpg,500,375,checkerboard,52,67,175,190
background1740.jpg,500,375,checkerboard,235,302,417,375
000000007266.jpg,500,400,checkerboard,209,51,409,251
000000034638.jpg,640,428,checkerboard,111,21,322,182
000000029691.jpg,640,479,checkerboard,418,82,611,275
000000004826.jpg,640,480,checkerboard,191,128,305,242
000000040330.jpg,480,640,checkerboard,137,510,330,640
000000015943.jpg,640,426,checkerboard,6,255,173,422
background0561.jpg,375,500,checkerboard,283,159,375,296
background0977.jpg,500,375,checkerboard,173,16,394,237
000000003905.jpg,640,425,checkerboard,266,228,439,401
000000016413.jpg,640,360,checkerboard,41,19,243,196
background2740.jpg,375,500,checkerboard,154,179,375,445
000000029849.jpg,640,438,checkerboard,311,60,504,253
000000033778.jpg,425,640,checkerboard,87,38,294,245
background0431.jpg,375,500,checkerboard,97,111,234,248
background0528.jpg,500,346,checkerboard,208,120,431,345
000000013116.jpg,480,640,checkerboard,181,336,360,515
000000035350.jpg,640,480,checkerboard,496,391,634,480
000000020594.jpg,640,480,checkerboard,31,185,169,323
background0719.jpg,500,375,checkerboard,253,5,357,78
000000040261.jpg,640,427,checkerboard,389,285,522,427
000000040358.jpg,640,480,checkerboard,448,421,563,480
000000015763.jpg,640,427,checkerboard,475,148,640,323
000000026291.jpg,640,427,checkerboard,345,1,516,172
background2040.jpg,500,374,checkerboard,153,302,250,374
000000033450.jpg,500,375,checkerboard,223,186,444,375
background1440.jpg,500,335,checkerboard,168,2,307,134
background0200.jpg,334,500,checkerboard,32,258,146,372
000000002087.jpg,640,425,checkerboard,87,279,271,425
background0937.jpg,500,333,checkerboard,15,237,165,333
000000041367.jpg,640,480,checkerboard,111,125,251,257
background0261.jpg,500,375,checkerboard,324,225,439,319
000000036647.jpg,425,640,checkerboard,87,379,353,640
000000007435.jpg,500,375,checkerboard,287,30,428,171
background0549.jpg,500,333,checkerboard,271,62,442,209
background0452.jpg,500,373,checkerboard,290,175,429,290
000000004792.jpg,427,640,checkerboard,139,62,377,300
000000026138.jpg,640,400,checkerboard,18,37,185,204
000000024747.jpg,333,500,checkerboard,128,190,333,442
background2527.jpg,332,500,checkerboard,165,198,305,314
000000039286.jpg,640,480,checkerboard,522,344,640,480
background0460.jpg,243,210,checkerboard,67,94,181,210
background1060.jpg,375,500,checkerboard,103,244,358,499
background0557.jpg,489,391,checkerboard,270,310,420,391
000000006843.jpg,375,500,checkerboard,72,147,245,328
background1797.jpg,500,375,checkerboard,83,82,331,330
000000034598.jpg,640,424,checkerboard,111,111,372,377
000000027847.jpg,640,480,checkerboard,516,131,640,360
000000025599.jpg,640,398,checkerboard,118,197,358,398
000000025053.jpg,640,480,checkerboard,5,156,257,408
000000010550.jpg,480,640,checkerboard,388,339,480,513
000000040104.jpg,427,640,checkerboard,60,481,208,629
background0804.jpg,385,293,checkerboard,194,105,367,278
000000029016.jpg,640,626,checkerboard,106,92,237,235
background1126.jpg,500,346,checkerboard,415,122,500,239
000000009530.jpg,640,513,checkerboard,435,128,537,245
000000039533.jpg,500,375,checkerboard,373,25,500,229
background0396.jpg,500,375,checkerboard,414,275,500,375
background2644.jpg,375,500,checkerboard,235,332,366,475
000000007554.jpg,640,427,checkerboard,18,234,192,408
000000033197.jpg,640,482,checkerboard,259,91,427,261
background1187.jpg,375,500,checkerboard,159,341,375,500
000000026637.jpg,500,375,checkerboard,246,270,369,375
background2896.jpg,317,500,checkerboard,69,114,262,307
background0961.jpg,797,426,checkerboard,356,72,505,202
000000009526.jpg,500,330,checkerboard,364,214,500,330
000000010061.jpg,640,427,checkerboard,256,11,430,185
background0512.jpg,500,500,checkerboard,103,97,238,266
000000005341.jpg,480,640,checkerboard,240,95,400,255
000000024308.jpg,640,427,checkerboard,373,211,639,427
000000031534.jpg,640,480,checkerboard,298,8,469,179
000000008441.jpg,640,427,checkerboard,287,150,427,266
000000011321.jpg,430,640,checkerboard,200,80,367,247
background0764.jpg,500,309,checkerboard,331,115,500,309
000000020190.jpg,640,428,checkerboard,445,232,640,428
background0315.jpg,500,333,checkerboard,303,70,500,253
000000041194.jpg,375,500,checkerboard,272,149,375,354
background2624.jpg,360,480,checkerboard,18,112,193,287
background0276.jpg,500,333,checkerboard,357,83,496,215
background1067.jpg,500,375,checkerboard,71,186,194,323
background0467.jpg,500,375,checkerboard,394,188,500,349
000000027757.jpg,500,375,checkerboard,293,182,404,247
000000035386.jpg,300,369,checkerboard,209,274,300,369
000000027308.jpg,640,428,checkerboard,236,273,483,428
background1323.jpg,500,333,checkerboard,225,211,339,325
background2776.jpg,331,500,checkerboard,133,188,331,435
000000033000.jpg,500,375,checkerboard,31,10,228,193
000000025044.jpg,480,640,checkerboard,338,237,480,466
background0936.jpg,500,417,checkerboard,177,162,404,389
000000023401.jpg,640,480,checkerboard,184,187,365,375
000000015642.jpg,427,640,checkerboard,323,463,427,637
background2518.jpg,500,375,checkerboard,369,152,500,375
000000006571.jpg,480,640,checkerboard,376,189,480,333
000000009299.jpg,480,640,checkerboard,198,420,358,580
background0285.jpg,500,375,checkerboard,100,206,314,375
000000011033.jpg,400,500,checkerboard,171,39,385,240
000000026975.jpg,640,426,checkerboard,279,103,430,255
background0476.jpg,500,333,checkerboard,231,27,379,175
000000014809.jpg,500,375,checkerboard,279,249,489,375
background0027.jpg,500,428,checkerboard,234,17,406,191
000000019510.jpg,640,541,checkerboard,158,105,309,250
000000039723.jpg,640,480,checkerboard,217,288,358,429
000000004305.jpg,640,427,checkerboard,218,148,411,341
000000002914.jpg,640,457,checkerboard,319,328,535,457
000000032596.jpg,640,425,checkerboard,285,19,546,285
background0040.jpg,500,338,checkerboard,289,229,449,338
background1377.jpg,375,500,checkerboard,222,380,302,493
000000004366.jpg,640,449,checkerboard,17,259,114,399
000000017731.jpg,640,427,checkerboard,240,212,381,353
000000024033.jpg,640,480,checkerboard,64,311,280,480
000000012852.jpg,612,612,checkerboard,368,15,516,134
000000023979.jpg,640,427,checkerboard,241,78,422,266
background0492.jpg,333,500,checkerboard,195,71,333,267
background0589.jpg,500,334,checkerboard,296,53,500,291
background0043.jpg,500,375,checkerboard,331,194,500,375
000000015295.jpg,512,640,checkerboard,269,296,441,470
000000039787.jpg,500,333,checkerboard,72,157,319,333
000000028124.jpg,640,426,checkerboard,38,216,186,335
000000016086.jpg,640,428,checkerboard,47,320,260,428
000000025321.jpg,640,528,checkerboard,123,419,255,528
000000002166.jpg,640,480,checkerboard,179,112,398,331
000000020988.jpg,640,480,checkerboard,447,227,561,341
000000039166.jpg,427,640,checkerboard,71,386,213,531
000000024142.jpg,500,333,checkerboard,141,23,354,236
000000024818.jpg,640,480,checkerboard,481,206,611,336
background1131.jpg,500,364,checkerboard,394,243,500,364
000000015491.jpg,612,612,checkerboard,258,249,455,432
000000006492.jpg,640,480,checkerboard,224,49,365,181
000000016379.jpg,457,640,checkerboard,205,130,443,368
000000025750.jpg,640,480,checkerboard,486,316,640,480
background0805.jpg,500,333,checkerboard,298,163,438,295
000000013939.jpg,640,427,checkerboard,404,218,587,362
background1188.jpg,500,335,checkerboard,159,274,323,335
000000010575.jpg,640,360,checkerboard,82,141,320,360
background0072.jpg,500,375,checkerboard,315,202,473,360
